"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"159"	TRUE	"m"	"GSM307226"	40	"GSM307227"
"160"	TRUE	"l"	"GSM307227"	40	"GSM307228"
"161"	TRUE	"f"	NA	0	"GSM307230"
"162"	TRUE	"m"	"GSM307230"	5	"GSM307231"
"163"	TRUE	"m"	"GSM307231"	5	"GSM307232"
"164"	TRUE	"m"	"GSM307232"	5	"GSM307233"
"165"	TRUE	"m"	"GSM307233"	5	"GSM307234"
"166"	TRUE	"m"	"GSM307234"	10	"GSM307235"
"167"	TRUE	"m"	"GSM307235"	10	"GSM307236"
"168"	TRUE	"m"	"GSM307236"	10	"GSM307237"
"169"	TRUE	"l"	"GSM307237"	10	"GSM307238"
"170"	TRUE	"f"	NA	0	"GSM307240"
"171"	TRUE	"m"	"GSM307240"	5	"GSM307241"
"172"	TRUE	"m"	"GSM307241"	5	"GSM307242"
"173"	TRUE	"m"	"GSM307242"	5	"GSM307243"
"174"	TRUE	"m"	"GSM307243"	5	"GSM307244"
"175"	TRUE	"m"	"GSM307244"	10	"GSM307245"
"176"	TRUE	"m"	"GSM307245"	10	"GSM307246"
"177"	TRUE	"m"	"GSM307246"	10	"GSM307247"
"178"	TRUE	"l"	"GSM307247"	10	"GSM307248"
"179"	TRUE	"f"	NA	0	"GSM307250"
"180"	TRUE	"m"	"GSM307250"	5	"GSM307251"
"181"	TRUE	"m"	"GSM307251"	5	"GSM307252"
"182"	TRUE	"m"	"GSM307252"	5	"GSM307253"
"183"	TRUE	"m"	"GSM307253"	5	"GSM307254"
"184"	TRUE	"m"	"GSM307254"	10	"GSM307255"
"185"	TRUE	"m"	"GSM307255"	10	"GSM307256"
"186"	TRUE	"m"	"GSM307256"	10	"GSM307257"
"187"	TRUE	"l"	"GSM307257"	10	"GSM307258"
"188"	TRUE	"f"	NA	0	"GSM307260"
"189"	TRUE	"m"	"GSM307260"	5	"GSM307261"
"190"	TRUE	"m"	"GSM307261"	5	"GSM307262"
"191"	TRUE	"m"	"GSM307262"	5	"GSM307263"
"192"	TRUE	"m"	"GSM307263"	5	"GSM307264"
"193"	TRUE	"l"	"GSM307264"	10	"GSM307265"
"194"	TRUE	"f"	NA	0	"GSM356518"
"195"	TRUE	"m"	"GSM356518"	720	"GSM356519"
"196"	TRUE	"m"	"GSM356519"	720	"GSM356520"
"197"	TRUE	"m"	"GSM356520"	720	"GSM356521"
