"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"1521"	FALSE	"e"	NA	0	"GSM291000"
"1522"	FALSE	"e"	NA	0	"GSM291001"
"1523"	FALSE	"e"	NA	0	"GSM291002"
"1524"	FALSE	"e"	NA	0	"GSM291003"
"1528"	FALSE	"e"	NA	0	"GSM291140"
"1529"	FALSE	"e"	NA	0	"GSM291141"
"1530"	FALSE	"e"	NA	0	"GSM291142"
"1537"	FALSE	"e"	NA	0	"GSM291525"
"1538"	FALSE	"e"	NA	0	"GSM291538"
"1539"	FALSE	"e"	NA	0	"GSM291539"
"1540"	FALSE	"e"	NA	0	"GSM291540"
"1541"	FALSE	"e"	NA	0	"GSM291554"
"1542"	FALSE	"e"	NA	0	"GSM291555"
"1543"	FALSE	"e"	NA	0	"GSM292045"
"1544"	FALSE	"e"	NA	0	"GSM296856"
"1545"	FALSE	"e"	NA	0	"GSM296857"
"1546"	FALSE	"e"	NA	0	"GSM296858"
"1547"	FALSE	"e"	NA	0	"GSM296859"
"1548"	FALSE	"e"	NA	0	"GSM296860"
"1549"	FALSE	"e"	NA	0	"GSM296861"
"1593"	FALSE	"e"	NA	0	"GSM338560"
"1594"	FALSE	"e"	NA	0	"GSM338561"
"1595"	FALSE	"e"	NA	0	"GSM338562"
"1596"	FALSE	"e"	NA	0	"GSM338563"
"1597"	FALSE	"e"	NA	0	"GSM338564"
"1598"	FALSE	"e"	NA	0	"GSM338565"
"1599"	FALSE	"e"	NA	0	"GSM338566"
"1600"	FALSE	"e"	NA	0	"GSM338567"
"1601"	FALSE	"e"	NA	0	"GSM338568"
"1602"	FALSE	"e"	NA	0	"GSM338569"
"1603"	FALSE	"e"	NA	0	"GSM338570"
"1604"	FALSE	"e"	NA	0	"GSM338571"
"1605"	FALSE	"e"	NA	0	"GSM344245"
"1606"	FALSE	"e"	NA	0	"GSM344257"
"1607"	FALSE	"e"	NA	0	"GSM344264"
"1608"	FALSE	"e"	NA	0	"GSM344269"
"1609"	FALSE	"e"	NA	0	"GSM344272"
"1610"	FALSE	"e"	NA	0	"GSM344274"
